"","name","ID","sigma","beta"
"56","Billy's Lake",56,0.03,6
"57","Billy's Lake",57,0.03,7
"58","Billy's Lake",58,0.03,8
"59","Billy's Lake",59,0.03,9
"60","Billy's Lake",60,0.03,10
"61","Billy's Lake",61,0.03,11
"62","Billy's Lake",62,0.03,12
"63","Billy's Lake",63,0.03,13
"64","Billy's Lake",64,0.03,14
"65","Billy's Lake",1,0.03,15
"66","Billy's Lake",2,0.03,16
"67","Billy's Lake",3,0.03,17
"68","Billy's Lake",4,0.03,18
"69","Billy's Lake",5,0.03,19
"70","Billy's Lake",6,0.03,20
"71","Billy's Lake",7,0.03,21
"72","Billy's Lake",8,0.03,22
"73","Billy's Lake",9,0.03,23
"74","Billy's Lake",10,0.03,24
"75","Billy's Lake",11,0.03,25
"76","Billy's Lake",12,0.03,26
"77","Billy's Lake",13,0.03,27
"78","Billy's Lake",14,0.03,28
"79","Billy's Lake",15,0.03,29
"80","Billy's Lake",16,0.03,30
"81","Billy's Lake",17,0.03,31
"82","Billy's Lake",18,0.03,32
"83","Billy's Lake",19,0.03,33
"84","Billy's Lake",20,0.03,34
"85","Billy's Lake",21,0.03,35
"86","Billy's Lake",22,0.03,36
"87","Billy's Lake",23,0.03,37
"88","Billy's Lake",24,0.03,38
"89","Billy's Lake",25,0.03,39
"90","Billy's Lake",26,0.03,40
"91","Billy's Lake",27,0.03,41
"92","Billy's Lake",28,0.03,42
"93","Billy's Lake",29,0.03,43
"94","Billy's Lake",30,0.03,44
"95","Billy's Lake",31,0.03,45
"96","Billy's Lake",32,0.03,46
"97","Billy's Lake",33,0.03,47
"98","Billy's Lake",34,0.03,48
"99","Billy's Lake",35,0.03,49
"100","Billy's Lake",36,0.03,50
"101","Blue Mounds Creek",37,0.03,1
"102","Blue Mounds Creek",38,0.03,2
"103","Blue Mounds Creek",39,0.03,3
"104","Blue Mounds Creek",40,0.03,4
"105","Blue Mounds Creek",41,0.03,5
"106","Blue Mounds Creek",42,0.03,6
"107","Blue Mounds Creek",43,0.03,7
"108","Blue Mounds Creek",44,0.03,8
"109","Blue Mounds Creek",45,0.03,9
"110","Blue Mounds Creek",46,0.03,10
"111","Blue Mounds Creek",47,0.03,11
"112","Blue Mounds Creek",48,0.03,12
"113","Blue Mounds Creek",49,0.03,13
"114","Blue Mounds Creek",50,0.03,14
"115","Blue Mounds Creek",51,0.03,15
"116","Blue Mounds Creek",52,0.03,16
"117","Blue Mounds Creek",53,0.03,17
"118","Blue Mounds Creek",54,0.03,18
"119","Blue Mounds Creek",55,0.03,19
"120","Blue Mounds Creek",56,0.03,20
"121","Blue Mounds Creek",57,0.03,21
"122","Blue Mounds Creek",58,0.03,22
"123","Blue Mounds Creek",59,0.03,23
"124","Blue Mounds Creek",60,0.03,24
"125","Blue Mounds Creek",61,0.03,25
"126","Blue Mounds Creek",62,0.03,26
"127","Blue Mounds Creek",63,0.03,27
"128","Blue Mounds Creek",64,0.03,28
"129","Blue Mounds Creek",1,0.03,29
"130","Blue Mounds Creek",2,0.03,30
"131","Blue Mounds Creek",3,0.03,31
"132","Blue Mounds Creek",4,0.03,32
"133","Blue Mounds Creek",5,0.03,33
"134","Blue Mounds Creek",6,0.03,34
"135","Blue Mounds Creek",7,0.03,35
"136","Blue Mounds Creek",8,0.03,36
"137","Blue Mounds Creek",9,0.03,37
"138","Blue Mounds Creek",10,0.03,38
"139","Blue Mounds Creek",11,0.03,39
"140","Blue Mounds Creek",12,0.03,40
"141","Blue Mounds Creek",13,0.03,41
"142","Blue Mounds Creek",14,0.03,42
"143","Blue Mounds Creek",15,0.03,43
"144","Blue Mounds Creek",16,0.03,44
"145","Blue Mounds Creek",17,0.03,45
"146","Blue Mounds Creek",18,0.03,46
"147","Blue Mounds Creek",19,0.03,47
"148","Blue Mounds Creek",20,0.03,48
"149","Blue Mounds Creek",21,0.03,49
"150","Blue Mounds Creek",22,0.03,50
"151","Bog D Pond",23,0.03,1
"152","Bog D Pond",24,0.03,2
"153","Bog D Pond",25,0.03,3
"154","Bog D Pond",26,0.03,4
"155","Bog D Pond",27,0.03,5
"156","Bog D Pond",28,0.03,6
"157","Bog D Pond",29,0.03,7
"158","Bog D Pond",30,0.03,8
"159","Bog D Pond",31,0.03,9
"160","Bog D Pond",32,0.03,10
"161","Bog D Pond",33,0.03,11
"162","Bog D Pond",34,0.03,12
"163","Bog D Pond",35,0.03,13
"164","Bog D Pond",36,0.03,14
"165","Bog D Pond",37,0.03,15
"166","Bog D Pond",38,0.03,16
"167","Bog D Pond",39,0.03,17
"168","Bog D Pond",40,0.03,18
"169","Bog D Pond",41,0.03,19
"170","Bog D Pond",42,0.03,20
"171","Bog D Pond",43,0.03,21
"172","Bog D Pond",44,0.03,22
"173","Bog D Pond",45,0.03,23
"174","Bog D Pond",46,0.03,24
"175","Bog D Pond",47,0.03,25
"176","Bog D Pond",48,0.03,26
"177","Bog D Pond",49,0.03,27
"178","Bog D Pond",50,0.03,28
"179","Bog D Pond",51,0.03,29
"180","Bog D Pond",52,0.03,30
"181","Bog D Pond",53,0.03,31
"182","Bog D Pond",54,0.03,32
"183","Bog D Pond",55,0.03,33
"184","Bog D Pond",56,0.03,34
"185","Bog D Pond",57,0.03,35
"186","Bog D Pond",58,0.03,36
"187","Bog D Pond",59,0.03,37
"188","Bog D Pond",60,0.03,38
"189","Bog D Pond",61,0.03,39
"190","Bog D Pond",62,0.03,40
"191","Bog D Pond",63,0.03,41
"192","Bog D Pond",64,0.03,42
"193","Bog D Pond",1,0.03,43
"194","Bog D Pond",2,0.03,44
"195","Bog D Pond",3,0.03,45
"196","Bog D Pond",4,0.03,46
"197","Bog D Pond",5,0.03,47
"198","Bog D Pond",6,0.03,48
"199","Bog D Pond",7,0.03,49
"200","Bog D Pond",8,0.03,50
"201","Camp 11 Lake",9,0.03,1
"202","Camp 11 Lake",10,0.03,2
"203","Camp 11 Lake",11,0.03,3
"204","Camp 11 Lake",12,0.03,4
"205","Camp 11 Lake",13,0.03,5
"206","Camp 11 Lake",14,0.03,6
"207","Camp 11 Lake",15,0.03,7
"208","Camp 11 Lake",16,0.03,8
"209","Camp 11 Lake",17,0.03,9
"210","Camp 11 Lake",18,0.03,10
"211","Camp 11 Lake",19,0.03,11
"212","Camp 11 Lake",20,0.03,12
"213","Camp 11 Lake",21,0.03,13
"214","Camp 11 Lake",22,0.03,14
"215","Camp 11 Lake",23,0.03,15
"216","Camp 11 Lake",24,0.03,16
"217","Camp 11 Lake",25,0.03,17
"218","Camp 11 Lake",26,0.03,18
"219","Camp 11 Lake",27,0.03,19
"220","Camp 11 Lake",28,0.03,20
"221","Camp 11 Lake",29,0.03,21
"222","Camp 11 Lake",30,0.03,22
"223","Camp 11 Lake",31,0.03,23
"224","Camp 11 Lake",32,0.03,24
"225","Camp 11 Lake",33,0.03,25
"226","Camp 11 Lake",34,0.03,26
"227","Camp 11 Lake",35,0.03,27
"228","Camp 11 Lake",36,0.03,28
"229","Camp 11 Lake",37,0.03,29
"230","Camp 11 Lake",38,0.03,30
"231","Camp 11 Lake",39,0.03,31
"232","Camp 11 Lake",40,0.03,32
"233","Camp 11 Lake",41,0.03,33
"234","Camp 11 Lake",42,0.03,34
"235","Camp 11 Lake",43,0.03,35
"236","Camp 11 Lake",44,0.03,36
"237","Camp 11 Lake",45,0.03,37
"238","Camp 11 Lake",46,0.03,38
"239","Camp 11 Lake",47,0.03,39
"240","Camp 11 Lake",48,0.03,40
"241","Camp 11 Lake",49,0.03,41
"242","Camp 11 Lake",50,0.03,42
"243","Camp 11 Lake",51,0.03,43
"244","Camp 11 Lake",52,0.03,44
"245","Camp 11 Lake",53,0.03,45
"246","Camp 11 Lake",54,0.03,46
"247","Camp 11 Lake",55,0.03,47
"248","Camp 11 Lake",56,0.03,48
"249","Camp 11 Lake",57,0.03,49
"250","Camp 11 Lake",58,0.03,50
"251","Cedar Bog",59,0.03,1
"252","Cedar Bog",60,0.03,2
"253","Cedar Bog",61,0.03,3
"254","Cedar Bog",62,0.03,4
"255","Cedar Bog",63,0.03,5
"256","Cedar Bog",64,0.03,6
"257","Cedar Bog",1,0.03,7
"258","Cedar Bog",2,0.03,8
"259","Cedar Bog",3,0.03,9
"260","Cedar Bog",4,0.03,10
"261","Cedar Bog",5,0.03,11
"262","Cedar Bog",6,0.03,12
"263","Cedar Bog",7,0.03,13
"264","Cedar Bog",8,0.03,14
"265","Cedar Bog",9,0.03,15
"266","Cedar Bog",10,0.03,16
"267","Cedar Bog",11,0.03,17
"268","Cedar Bog",12,0.03,18
"269","Cedar Bog",13,0.03,19
"270","Cedar Bog",14,0.03,20
"271","Cedar Bog",15,0.03,21
"272","Cedar Bog",16,0.03,22
"273","Cedar Bog",17,0.03,23
"274","Cedar Bog",18,0.03,24
"275","Cedar Bog",19,0.03,25
"276","Cedar Bog",20,0.03,26
"277","Cedar Bog",21,0.03,27
"278","Cedar Bog",22,0.03,28
"279","Cedar Bog",23,0.03,29
"280","Cedar Bog",24,0.03,30
"281","Cedar Bog",25,0.03,31
"282","Cedar Bog",26,0.03,32
"283","Cedar Bog",27,0.03,33
"284","Cedar Bog",28,0.03,34
"285","Cedar Bog",29,0.03,35
"286","Cedar Bog",30,0.03,36
"287","Cedar Bog",31,0.03,37
"288","Cedar Bog",32,0.03,38
"289","Cedar Bog",33,0.03,39
"290","Cedar Bog",34,0.03,40
"291","Cedar Bog",35,0.03,41
"292","Cedar Bog",36,0.03,42
"293","Cedar Bog",37,0.03,43
"294","Cedar Bog",38,0.03,44
"295","Cedar Bog",39,0.03,45
"296","Cedar Bog",40,0.03,46
"297","Cedar Bog",41,0.03,47
"298","Cedar Bog",42,0.03,48
"299","Cedar Bog",43,0.03,49
"300","Cedar Bog",44,0.03,50
"301","Chippewa Bog",45,0.03,1
"302","Chippewa Bog",46,0.03,2
"303","Chippewa Bog",47,0.03,3
"304","Chippewa Bog",48,0.03,4
"305","Chippewa Bog",49,0.03,5
"306","Chippewa Bog",50,0.03,6
"307","Chippewa Bog",51,0.03,7
"308","Chippewa Bog",52,0.03,8
"309","Chippewa Bog",53,0.03,9
"310","Chippewa Bog",54,0.03,10
"311","Chippewa Bog",55,0.03,11
"312","Chippewa Bog",56,0.03,12
"313","Chippewa Bog",57,0.03,13
"314","Chippewa Bog",58,0.03,14
"315","Chippewa Bog",59,0.03,15
"316","Chippewa Bog",60,0.03,16
"317","Chippewa Bog",61,0.03,17
"318","Chippewa Bog",62,0.03,18
"319","Chippewa Bog",63,0.03,19
"320","Chippewa Bog",64,0.03,20
"321","Chippewa Bog",1,0.03,21
"322","Chippewa Bog",2,0.03,22
"323","Chippewa Bog",3,0.03,23
"324","Chippewa Bog",4,0.03,24
"325","Chippewa Bog",5,0.03,25
"326","Chippewa Bog",6,0.03,26
"327","Chippewa Bog",7,0.03,27
"328","Chippewa Bog",8,0.03,28
"329","Chippewa Bog",9,0.03,29
"330","Chippewa Bog",10,0.03,30
"331","Chippewa Bog",11,0.03,31
"332","Chippewa Bog",12,0.03,32
"333","Chippewa Bog",13,0.03,33
"334","Chippewa Bog",14,0.03,34
"335","Chippewa Bog",15,0.03,35
"336","Chippewa Bog",16,0.03,36
"337","Chippewa Bog",17,0.03,37
"338","Chippewa Bog",18,0.03,38
"339","Chippewa Bog",19,0.03,39
"340","Chippewa Bog",20,0.03,40
"341","Chippewa Bog",21,0.03,41
"342","Chippewa Bog",22,0.03,42
"343","Chippewa Bog",23,0.03,43
"344","Chippewa Bog",24,0.03,44
"345","Chippewa Bog",25,0.03,45
"346","Chippewa Bog",26,0.03,46
"347","Chippewa Bog",27,0.03,47
"348","Chippewa Bog",28,0.03,48
"349","Chippewa Bog",29,0.03,49
"350","Chippewa Bog",30,0.03,50
"351","Cub Lake",31,0.03,1
"352","Cub Lake",32,0.03,2
"353","Cub Lake",33,0.03,3
"354","Cub Lake",34,0.03,4
"355","Cub Lake",35,0.03,5
"356","Cub Lake",36,0.03,6
"357","Cub Lake",37,0.03,7
"358","Cub Lake",38,0.03,8
"359","Cub Lake",39,0.03,9
"360","Cub Lake",40,0.03,10
"361","Cub Lake",41,0.03,11
"362","Cub Lake",42,0.03,12
"363","Cub Lake",43,0.03,13
"364","Cub Lake",44,0.03,14
"365","Cub Lake",45,0.03,15
"366","Cub Lake",46,0.03,16
"367","Cub Lake",47,0.03,17
"368","Cub Lake",48,0.03,18
"369","Cub Lake",49,0.03,19
"370","Cub Lake",50,0.03,20
"371","Cub Lake",51,0.03,21
"372","Cub Lake",52,0.03,22
"373","Cub Lake",53,0.03,23
"374","Cub Lake",54,0.03,24
"375","Cub Lake",55,0.03,25
"376","Cub Lake",56,0.03,26
"377","Cub Lake",57,0.03,27
"378","Cub Lake",58,0.03,28
"379","Cub Lake",59,0.03,29
"380","Cub Lake",60,0.03,30
"381","Cub Lake",61,0.03,31
"382","Cub Lake",62,0.03,32
"383","Cub Lake",63,0.03,33
"384","Cub Lake",64,0.03,34
"385","Cub Lake",1,0.03,35
"386","Cub Lake",2,0.03,36
"387","Cub Lake",3,0.03,37
"388","Cub Lake",4,0.03,38
"389","Cub Lake",5,0.03,39
"390","Cub Lake",6,0.03,40
"391","Cub Lake",7,0.03,41
"392","Cub Lake",8,0.03,42
"393","Cub Lake",9,0.03,43
"394","Cub Lake",10,0.03,44
"395","Cub Lake",11,0.03,45
"396","Cub Lake",12,0.03,46
"397","Cub Lake",13,0.03,47
"398","Cub Lake",14,0.03,48
"399","Cub Lake",15,0.03,49
"400","Cub Lake",16,0.03,50
"401","Demont Lake",17,0.03,1
"402","Demont Lake",18,0.03,2
"403","Demont Lake",19,0.03,3
"404","Demont Lake",20,0.03,4
"405","Demont Lake",21,0.03,5
"406","Demont Lake",22,0.03,6
"407","Demont Lake",23,0.03,7
"408","Demont Lake",24,0.03,8
"409","Demont Lake",25,0.03,9
"410","Demont Lake",26,0.03,10
"411","Demont Lake",27,0.03,11
"412","Demont Lake",28,0.03,12
"413","Demont Lake",29,0.03,13
"414","Demont Lake",30,0.03,14
"415","Demont Lake",31,0.03,15
"416","Demont Lake",32,0.03,16
"417","Demont Lake",33,0.03,17
"418","Demont Lake",34,0.03,18
"419","Demont Lake",35,0.03,19
"420","Demont Lake",36,0.03,20
"421","Demont Lake",37,0.03,21
"422","Demont Lake",38,0.03,22
"423","Demont Lake",39,0.03,23
"424","Demont Lake",40,0.03,24
"425","Demont Lake",41,0.03,25
"426","Demont Lake",42,0.03,26
"427","Demont Lake",43,0.03,27
"428","Demont Lake",44,0.03,28
"429","Demont Lake",45,0.03,29
"430","Demont Lake",46,0.03,30
"431","Demont Lake",47,0.03,31
"432","Demont Lake",48,0.03,32
"433","Demont Lake",49,0.03,33
"434","Demont Lake",50,0.03,34
"435","Demont Lake",51,0.03,35
"436","Demont Lake",52,0.03,36
"437","Demont Lake",53,0.03,37
"438","Demont Lake",54,0.03,38
"439","Demont Lake",55,0.03,39
"440","Demont Lake",56,0.03,40
"441","Demont Lake",57,0.03,41
"442","Demont Lake",58,0.03,42
"443","Demont Lake",59,0.03,43
"444","Demont Lake",60,0.03,44
"445","Demont Lake",61,0.03,45
"446","Demont Lake",62,0.03,46
"447","Demont Lake",63,0.03,47
"448","Demont Lake",64,0.03,48
"449","Demont Lake",1,0.03,49
"450","Demont Lake",2,0.03,50
"451","Devils Lake",3,0.03,1
"452","Devils Lake",4,0.03,2
"453","Devils Lake",5,0.03,3
"454","Devils Lake",6,0.03,4
"455","Devils Lake",7,0.03,5
"456","Devils Lake",8,0.03,6
"457","Devils Lake",9,0.03,7
"458","Devils Lake",10,0.03,8
"459","Devils Lake",11,0.03,9
"460","Devils Lake",12,0.03,10
"461","Devils Lake",13,0.03,11
"462","Devils Lake",14,0.03,12
"463","Devils Lake",15,0.03,13
"464","Devils Lake",16,0.03,14
"465","Devils Lake",17,0.03,15
"466","Devils Lake",18,0.03,16
"467","Devils Lake",19,0.03,17
"468","Devils Lake",20,0.03,18
"469","Devils Lake",21,0.03,19
"470","Devils Lake",22,0.03,20
"471","Devils Lake",23,0.03,21
"472","Devils Lake",24,0.03,22
"473","Devils Lake",25,0.03,23
"474","Devils Lake",26,0.03,24
"475","Devils Lake",27,0.03,25
"476","Devils Lake",28,0.03,26
"477","Devils Lake",29,0.03,27
"478","Devils Lake",30,0.03,28
"479","Devils Lake",31,0.03,29
"480","Devils Lake",32,0.03,30
"481","Devils Lake",33,0.03,31
"482","Devils Lake",34,0.03,32
"483","Devils Lake",35,0.03,33
"484","Devils Lake",36,0.03,34
"485","Devils Lake",37,0.03,35
"486","Devils Lake",38,0.03,36
"487","Devils Lake",39,0.03,37
"488","Devils Lake",40,0.03,38
"489","Devils Lake",41,0.03,39
"490","Devils Lake",42,0.03,40
"491","Devils Lake",43,0.03,41
"492","Devils Lake",44,0.03,42
"493","Devils Lake",45,0.03,43
"494","Devils Lake",46,0.03,44
"495","Devils Lake",47,0.03,45
"496","Devils Lake",48,0.03,46
"497","Devils Lake",49,0.03,47
"498","Devils Lake",50,0.03,48
"499","Devils Lake",51,0.03,49
"500","Devils Lake",52,0.03,50
"501","Disterhaft Farm Bog",53,0.03,1
"502","Disterhaft Farm Bog",54,0.03,2
"503","Disterhaft Farm Bog",55,0.03,3
"504","Disterhaft Farm Bog",56,0.03,4
"505","Disterhaft Farm Bog",57,0.03,5
"506","Disterhaft Farm Bog",58,0.03,6
"507","Disterhaft Farm Bog",59,0.03,7
"508","Disterhaft Farm Bog",60,0.03,8
"509","Disterhaft Farm Bog",61,0.03,9
"510","Disterhaft Farm Bog",62,0.03,10
"511","Disterhaft Farm Bog",63,0.03,11
"512","Disterhaft Farm Bog",64,0.03,12
"513","Disterhaft Farm Bog",1,0.03,13
"514","Disterhaft Farm Bog",2,0.03,14
"515","Disterhaft Farm Bog",3,0.03,15
"516","Disterhaft Farm Bog",4,0.03,16
"517","Disterhaft Farm Bog",5,0.03,17
"518","Disterhaft Farm Bog",6,0.03,18
"519","Disterhaft Farm Bog",7,0.03,19
"520","Disterhaft Farm Bog",8,0.03,20
"521","Disterhaft Farm Bog",9,0.03,21
"522","Disterhaft Farm Bog",10,0.03,22
"523","Disterhaft Farm Bog",11,0.03,23
"524","Disterhaft Farm Bog",12,0.03,24
"525","Disterhaft Farm Bog",13,0.03,25
"526","Disterhaft Farm Bog",14,0.03,26
"527","Disterhaft Farm Bog",15,0.03,27
"528","Disterhaft Farm Bog",16,0.03,28
"529","Disterhaft Farm Bog",17,0.03,29
"530","Disterhaft Farm Bog",18,0.03,30
"531","Disterhaft Farm Bog",19,0.03,31
"532","Disterhaft Farm Bog",20,0.03,32
"533","Disterhaft Farm Bog",21,0.03,33
"534","Disterhaft Farm Bog",22,0.03,34
"535","Disterhaft Farm Bog",23,0.03,35
"536","Disterhaft Farm Bog",24,0.03,36
"537","Disterhaft Farm Bog",25,0.03,37
"538","Disterhaft Farm Bog",26,0.03,38
"539","Disterhaft Farm Bog",27,0.03,39
"540","Disterhaft Farm Bog",28,0.03,40
"541","Disterhaft Farm Bog",29,0.03,41
"542","Disterhaft Farm Bog",30,0.03,42
"543","Disterhaft Farm Bog",31,0.03,43
"544","Disterhaft Farm Bog",32,0.03,44
"545","Disterhaft Farm Bog",33,0.03,45
"546","Disterhaft Farm Bog",34,0.03,46
"547","Disterhaft Farm Bog",35,0.03,47
"548","Disterhaft Farm Bog",36,0.03,48
"549","Disterhaft Farm Bog",37,0.03,49
"550","Disterhaft Farm Bog",38,0.03,50
"551","Gass Lake",39,0.03,1
"552","Gass Lake",40,0.03,2
"553","Gass Lake",41,0.03,3
"554","Gass Lake",42,0.03,4
"555","Gass Lake",43,0.03,5
"556","Gass Lake",44,0.03,6
"557","Gass Lake",45,0.03,7
"558","Gass Lake",46,0.03,8
"559","Gass Lake",47,0.03,9
"560","Gass Lake",48,0.03,10
"561","Gass Lake",49,0.03,11
"562","Gass Lake",50,0.03,12
"563","Gass Lake",51,0.03,13
"564","Gass Lake",52,0.03,14
"565","Gass Lake",53,0.03,15
"566","Gass Lake",54,0.03,16
"567","Gass Lake",55,0.03,17
"568","Gass Lake",56,0.03,18
"569","Gass Lake",57,0.03,19
"570","Gass Lake",58,0.03,20
"571","Gass Lake",59,0.03,21
"572","Gass Lake",60,0.03,22
"573","Gass Lake",61,0.03,23
"574","Gass Lake",62,0.03,24
"575","Gass Lake",63,0.03,25
"576","Gass Lake",64,0.03,26
"577","Gass Lake",1,0.03,27
"578","Gass Lake",2,0.03,28
"579","Gass Lake",3,0.03,29
"580","Gass Lake",4,0.03,30
"581","Gass Lake",5,0.03,31
"582","Gass Lake",6,0.03,32
"583","Gass Lake",7,0.03,33
"584","Gass Lake",8,0.03,34
"585","Gass Lake",9,0.03,35
"586","Gass Lake",10,0.03,36
"587","Gass Lake",11,0.03,37
"588","Gass Lake",12,0.03,38
"589","Gass Lake",13,0.03,39
"590","Gass Lake",14,0.03,40
"591","Gass Lake",15,0.03,41
"592","Gass Lake",16,0.03,42
"593","Gass Lake",17,0.03,43
"594","Gass Lake",18,0.03,44
"595","Gass Lake",19,0.03,45
"596","Gass Lake",20,0.03,46
"597","Gass Lake",21,0.03,47
"598","Gass Lake",22,0.03,48
"599","Gass Lake",23,0.03,49
"600","Gass Lake",24,0.03,50
"601","Green Lake",25,0.03,1
"602","Green Lake",26,0.03,2
"603","Green Lake",27,0.03,3
"604","Green Lake",28,0.03,4
"605","Green Lake",29,0.03,5
"606","Green Lake",30,0.03,6
"607","Green Lake",31,0.03,7
"608","Green Lake",32,0.03,8
"609","Green Lake",33,0.03,9
"610","Green Lake",34,0.03,10
"611","Green Lake",35,0.03,11
"612","Green Lake",36,0.03,12
"613","Green Lake",37,0.03,13
"614","Green Lake",38,0.03,14
"615","Green Lake",39,0.03,15
"616","Green Lake",40,0.03,16
"617","Green Lake",41,0.03,17
"618","Green Lake",42,0.03,18
"619","Green Lake",43,0.03,19
"620","Green Lake",44,0.03,20
"621","Green Lake",45,0.03,21
"622","Green Lake",46,0.03,22
"623","Green Lake",47,0.03,23
"624","Green Lake",48,0.03,24
"625","Green Lake",49,0.03,25
"626","Green Lake",50,0.03,26
"627","Green Lake",51,0.03,27
"628","Green Lake",52,0.03,28
"629","Green Lake",53,0.03,29
"630","Green Lake",54,0.03,30
"631","Green Lake",55,0.03,31
"632","Green Lake",56,0.03,32
"633","Green Lake",57,0.03,33
"634","Green Lake",58,0.03,34
"635","Green Lake",59,0.03,35
"636","Green Lake",60,0.03,36
"637","Green Lake",61,0.03,37
"638","Green Lake",62,0.03,38
"639","Green Lake",63,0.03,39
"640","Green Lake",64,0.03,40
"641","Green Lake",1,0.03,41
"642","Green Lake",2,0.03,42
"643","Green Lake",3,0.03,43
"644","Green Lake",4,0.03,44
"645","Green Lake",5,0.03,45
"646","Green Lake",6,0.03,46
"647","Green Lake",7,0.03,47
"648","Green Lake",8,0.03,48
"649","Green Lake",9,0.03,49
"650","Green Lake",10,0.03,50
"651","Irvin Lake",11,0.03,1
"652","Irvin Lake",12,0.03,2
"653","Irvin Lake",13,0.03,3
"654","Irvin Lake",14,0.03,4
"655","Irvin Lake",15,0.03,5
"656","Irvin Lake",16,0.03,6
"657","Irvin Lake",17,0.03,7
"658","Irvin Lake",18,0.03,8
"659","Irvin Lake",19,0.03,9
"660","Irvin Lake",20,0.03,10
"661","Irvin Lake",21,0.03,11
"662","Irvin Lake",22,0.03,12
"663","Irvin Lake",23,0.03,13
"664","Irvin Lake",24,0.03,14
"665","Irvin Lake",25,0.03,15
"666","Irvin Lake",26,0.03,16
"667","Irvin Lake",27,0.03,17
"668","Irvin Lake",28,0.03,18
"669","Irvin Lake",29,0.03,19
"670","Irvin Lake",30,0.03,20
"671","Irvin Lake",31,0.03,21
"672","Irvin Lake",32,0.03,22
"673","Irvin Lake",33,0.03,23
"674","Irvin Lake",34,0.03,24
"675","Irvin Lake",35,0.03,25
"676","Irvin Lake",36,0.03,26
"677","Irvin Lake",37,0.03,27
"678","Irvin Lake",38,0.03,28
"679","Irvin Lake",39,0.03,29
"680","Irvin Lake",40,0.03,30
"681","Irvin Lake",41,0.03,31
"682","Irvin Lake",42,0.03,32
"683","Irvin Lake",43,0.03,33
"684","Irvin Lake",44,0.03,34
"685","Irvin Lake",45,0.03,35
"686","Irvin Lake",46,0.03,36
"687","Irvin Lake",47,0.03,37
"688","Irvin Lake",48,0.03,38
"689","Irvin Lake",49,0.03,39
"690","Irvin Lake",50,0.03,40
"691","Irvin Lake",51,0.03,41
"692","Irvin Lake",52,0.03,42
"693","Irvin Lake",53,0.03,43
"694","Irvin Lake",54,0.03,44
"695","Irvin Lake",55,0.03,45
"696","Irvin Lake",56,0.03,46
"697","Irvin Lake",57,0.03,47
"698","Irvin Lake",58,0.03,48
"699","Irvin Lake",59,0.03,49
"700","Irvin Lake",60,0.03,50
"701","Jacobson Lake",61,0.03,1
"702","Jacobson Lake",62,0.03,2
"703","Jacobson Lake",63,0.03,3
"704","Jacobson Lake",64,0.03,4
"705","Jacobson Lake",1,0.03,5
"706","Jacobson Lake",2,0.03,6
"707","Jacobson Lake",3,0.03,7
"708","Jacobson Lake",4,0.03,8
"709","Jacobson Lake",5,0.03,9
"710","Jacobson Lake",6,0.03,10
"711","Jacobson Lake",7,0.03,11
"712","Jacobson Lake",8,0.03,12
"713","Jacobson Lake",9,0.03,13
"714","Jacobson Lake",10,0.03,14
"715","Jacobson Lake",11,0.03,15
"716","Jacobson Lake",12,0.03,16
"717","Jacobson Lake",13,0.03,17
"718","Jacobson Lake",14,0.03,18
"719","Jacobson Lake",15,0.03,19
"720","Jacobson Lake",16,0.03,20
"721","Jacobson Lake",17,0.03,21
"722","Jacobson Lake",18,0.03,22
"723","Jacobson Lake",19,0.03,23
